date_key,doc_type,filename,cba_tone,dollarization_intensity,forward_looking_ratio,raw_words,inflation_signal,amd_appreciation_signal,filtered_words
2012-02,MIN,MIN_2012_02.pdf,-0.002203,2.202643,0.023256,1001,0.0,0.0,454
2012-02,IR,IR_2012_Q1.pdf,-0.016695,2.140411,0.244604,9432,-0.428082,-0.428082,2336
2012-03,MIN,MIN_2012_03.pdf,0.0,2.150538,0.09375,1015,0.0,0.0,465
2012-04,MIN,MIN_2012_04.pdf,0.001305,1.305483,0.105263,1512,-1.305483,-1.305483,766
2012-04,FSR,FSR_2011.pdf,-0.026109,0.636807,0.000967,24990,-0.212269,-0.636807,4711
2012-05,MIN,MIN_2012_05.pdf,0.0,1.572327,0.12963,1258,-1.572327,-1.572327,636
2012-05,IR,IR_2012_Q2.pdf,-0.011897,1.220256,0.060714,14097,-0.610128,-0.915192,3278
2012-07,MIN,MIN_2012_07.pdf,0.0,4.1841,0.057143,1101,0.0,-2.09205,478
2012-08,MIN,MIN_2012_08.pdf,0.004815,4.815409,0.12766,1136,1.605136,0.0,623
2012-08,IR,IR_2012_Q3.pdf,-0.010061,1.219512,0.07197,14043,-0.609756,-1.52439,3280
2012-09,MIN,MIN_2012_09.pdf,0.008114,2.028398,0.055556,1143,0.0,2.028398,493
2012-10,MIN,MIN_2012_10.pdf,-0.004219,2.109705,0.057143,1071,-2.109705,2.109705,474
2012-11,MIN,MIN_2012_11.pdf,0.0,1.814882,0.142857,1136,0.0,1.814882,551
2012-11,IR,IR_2012_Q4.pdf,-0.01091,1.246883,0.071174,14319,-0.623441,-1.558603,3208
2012-12,MIN,MIN_2012_12.pdf,0.004202,2.10084,0.06383,1063,0.0,-2.10084,476
2013-02,IR,IR_2013_Q1.pdf,-0.012358,1.716444,0.079482,13452,-0.686577,-0.686577,2913
2013-03,MIN,MIN_2013_03.pdf,0.003868,1.934236,0.106383,1093,-1.934236,-1.934236,517
2013-04,FSR,FSR_2012.pdf,-0.022317,0.151814,0.023283,69192,-0.151814,-0.303628,6587
2013-05,IR,IR_2013_Q2.pdf,-0.007412,0.926498,0.085299,14450,-0.617665,0.0,3238
2013-06,MIN,MIN_2013_06.pdf,0.007435,0.0,0.095238,1201,0.0,0.0,538
