date_key,doc_type,filename,cba_tone,dollarization_intensity,policy_uncertainty,raw_words,filtered_words
2012-05,IR,IR_2012_Q1.pdf,0.008824,4.603875,0.010934,9432,5213
2012-08,IR,IR_2012_Q2.pdf,0.012474,3.413866,0.007222,14097,7616
2012-11,IR,IR_2012_Q3.pdf,0.006189,3.031451,0.008968,14043,7917
2013-02,IR,IR_2012_Q4.pdf,0.005618,2.38764,0.008708,14319,7120
2013-04,FSR,FSR_2012.pdf,-0.003471,3.327847,0.015816,69192,27946
2013-05,IR,IR_2013_Q1.pdf,0.008644,3.117472,0.006377,13452,7057
2013-08,IR,IR_2013_Q2.pdf,0.008983,5.293551,0.003369,14450,6234
2013-11,IR,IR_2013_Q3.pdf,0.00299,6.860158,0.006157,14130,5685
2014-02,IR,IR_2013_Q4.pdf,0.008415,6.395153,0.003029,15281,5942
2014-04,FSR,FSR_2013.pdf,-0.001197,2.633049,0.013405,27922,12533
2014-05,IR,IR_2014_Q1.pdf,0.006962,5.130084,0.004764,15915,5458
2014-08,IR,IR_2014_Q2.pdf,0.007463,7.462687,0.004375,14364,3886
2014-11,IR,IR_2014_Q3.pdf,0.011707,6.036217,0.003841,15997,5467
2015-02,IR,IR_2014_Q4.pdf,0.001502,6.435006,0.005792,15647,4662
2015-04,FSR,FSR_2014.pdf,-0.006486,2.612613,0.017117,28487,11100
2015-05,IR,IR_2015_Q1.pdf,-0.002265,6.229773,0.009466,19717,12360
2015-08,IR,IR_2015_Q2.pdf,0.00491,3.658419,0.006065,18086,10387
2015-11,IR,IR_2015_Q3.pdf,0.001958,4.381876,0.007645,18407,10726
2016-02,IR,IR_2015_Q4.pdf,0.003123,5.264567,0.007674,20928,11207
2016-04,FSR,FSR_2015.pdf,-0.010785,2.270577,0.017597,26193,10570
2016-05,IR,IR_2016_Q1.pdf,0.004384,4.471723,0.006839,20812,11405
2016-08,IR,IR_2016_Q2.pdf,0.00812,3.840667,0.006035,17818,9113
2016-11,IR,IR_2016_Q3.pdf,0.005314,2.344483,0.006799,20238,12796
2017-02,IR,IR_2016_Q4.pdf,0.006805,1.821144,0.006709,17084,10433
2017-04,FSR,FSR_2016.pdf,-0.007562,1.530429,0.016565,24933,11108
2017-05,IR,IR_2017_Q1.pdf,0.009738,2.238639,0.005149,16542,8934
2017-08,IR,IR_2017_Q2.pdf,0.013061,2.64162,0.004696,13663,6814
2017-11,IR,IR_2017_Q3.pdf,0.015563,3.30533,0.004407,12441,7261
2018-02,IR,IR_2017_Q4.pdf,0.017369,1.427552,0.005353,13762,8406
2018-04,FSR,FSR_2017.pdf,-0.000338,2.027369,0.013516,25128,11838
2018-05,IR,IR_2018_Q1.pdf,0.019461,1.630789,0.005001,12775,9198
